dvd,"[0.04166194 0.04166534 0.04167486 0.04166979 0.04167125 0.04167361
 0.04167716 0.04167366 0.04167243 0.04167254 0.04167148 0.04167775
 0.04160887 0.04166921 0.04167224 0.04166973 0.0416326  0.04165839
 0.04166656 0.04166946 0.04167235 0.04167258 0.0416728  0.04167343]"
books,"[0.04167294 0.04167388 0.04166883 0.04168155 0.04166414 0.04167553
 0.04167252 0.04166427 0.04166462 0.04167674 0.04165997 0.04167211
 0.04161604 0.04167736 0.04166213 0.04166337 0.04163076 0.04166032
 0.04167481 0.04167741 0.04168015 0.04168238 0.04167633 0.04165184]"
jewelry_&_watches,"[0.04166769 0.04166783 0.04166622 0.04166807 0.04166753 0.04166601
 0.04166846 0.04166666 0.04166438 0.04166679 0.0416645  0.0416637
 0.04166585 0.04166957 0.04166681 0.04166626 0.04166315 0.04166859
 0.04166887 0.04166869 0.04166787 0.04166874 0.041665   0.04166269]"
computer_&_video_games,"[0.04166035 0.0416628  0.04166928 0.04166867 0.0416696  0.04166621
 0.04166724 0.0416691  0.041669   0.04166956 0.04166897 0.04166908
 0.04165011 0.04166652 0.0416683  0.04166939 0.04165942 0.04166568
 0.0416678  0.04166776 0.04166906 0.04166885 0.04166933 0.04166786]"
health_&_personal_care,"[0.04165698 0.0416625  0.04167779 0.04167679 0.04168287 0.04167457
 0.04168274 0.04168468 0.04166165 0.0416846  0.04167992 0.04166858
 0.04156933 0.04168323 0.04166541 0.04166344 0.041614   0.04166805
 0.04167289 0.04167484 0.04167945 0.04168207 0.04167842 0.04165517]"
baby,"[0.04165994 0.04166317 0.04166983 0.04167073 0.04167182 0.04166747
 0.04167194 0.04166779 0.0416733  0.04167138 0.0416689  0.04166721
 0.04163694 0.04166863 0.04166749 0.04166616 0.04165601 0.0416643
 0.04166828 0.04167102 0.0416709  0.04166945 0.04167169 0.04166565]"
music,"[0.04165779 0.04166715 0.04166486 0.04167381 0.04169362 0.04167756
 0.04170099 0.04168322 0.0416476  0.04169739 0.04166569 0.04164535
 0.04168429 0.04147406 0.0416931  0.04166594 0.04162442 0.04168495
 0.04168018 0.0416986  0.04170086 0.04170747 0.04169226 0.04161883]"
cell_phones_&_service,"[0.04164639 0.04166946 0.04167369 0.04167836 0.04166794 0.04168125
 0.04167224 0.04165614 0.04167474 0.04167049 0.04166545 0.0416731
 0.04159564 0.0416737  0.04165953 0.0416603  0.04165475 0.04167205
 0.04168524 0.04167949 0.04167633 0.04168035 0.04167652 0.0416568 ]"
toys_&_games,"[0.04166619 0.04166633 0.04166714 0.041667   0.04166708 0.04166648
 0.04166705 0.04166706 0.04166698 0.04166677 0.04166702 0.041667
 0.04166704 0.04166415 0.04166711 0.04166688 0.0416672  0.04166523
 0.04166629 0.04166677 0.04166665 0.04166679 0.04166697 0.04166685]"
camera_&_photo,"[0.04166122 0.04166256 0.04167115 0.04167387 0.04167113 0.04166979
 0.04167339 0.04166712 0.04166882 0.04167413 0.04166826 0.04167389
 0.04162991 0.041673   0.04166742 0.04166823 0.04164695 0.04166147
 0.04167137 0.04167015 0.04167427 0.04166644 0.04167327 0.04166222]"
automotive,"[0.04165593 0.04167009 0.04166833 0.04167    0.04166751 0.04166813
 0.04167074 0.04166618 0.04167151 0.0416718  0.04166853 0.04166821
 0.04163948 0.04167015 0.04166362 0.04166837 0.04165305 0.0416688
 0.04167038 0.04167099 0.04166929 0.04167163 0.04167193 0.04166536]"
video,"[0.04164908 0.0416497  0.04169014 0.04167917 0.04166759 0.04168745
 0.04168771 0.04167081 0.04167169 0.04169135 0.0416882  0.04168212
 0.04168998 0.0415576  0.04168265 0.04168923 0.04167403 0.04159736
 0.04163816 0.04167799 0.04165394 0.04167718 0.04166583 0.04168108]"
outdoor_living,"[0.04154845 0.04161112 0.04173427 0.04176968 0.04174121 0.04173538
 0.04171171 0.04171894 0.0416347  0.04175227 0.04173074 0.04166974
 0.04169495 0.0412632  0.041722   0.04167695 0.04167743 0.0414073
 0.04167604 0.04173086 0.04173014 0.04170487 0.04172841 0.04162956]"
grocery,"[0.04157746 0.04163665 0.04169746 0.04168709 0.04170029 0.04169413
 0.04168448 0.04170072 0.04169389 0.04170978 0.04171106 0.04171448
 0.0415078  0.04166793 0.04169205 0.04169009 0.04152333 0.04162285
 0.04167863 0.04166539 0.0417047  0.04164474 0.04171596 0.04167906]"
